city,state,key,lat,lng
San Bernardino,California,San BernardinoCalifornia,34.1417,-117.2945
Bremerton,Washington,BremertonWashington,47.5436,-122.7121
Roanoke,Virginia,RoanokeVirginia,37.2785,-79.958
Hickory,North Carolina,HickoryNorth Carolina,35.7426,-81.323
Kalamazoo,Michigan,KalamazooMichigan,42.2749,-85.5882
Tacoma,Washington,TacomaWashington,47.2431,-122.4531
Fontana,California,FontanaCalifornia,34.0968,-117.4599
Green Bay,Wisconsin,Green BayWisconsin,44.515,-87.9896
College Station,Texas,College StationTexas,30.5852,-96.296
Moreno Valley,California,Moreno ValleyCalifornia,33.9244,-117.2045
Amarillo,Texas,AmarilloTexas,35.1989,-101.831
Portland,Maine,PortlandMaine,43.6773,-70.2715
Fargo,North Dakota,FargoNorth Dakota,46.8653,-96.8292
Santa Barbara,California,Santa BarbaraCalifornia,34.4285,-119.7202
Huntington,New York,HuntingtonNew York,40.8522,-73.3824
Norwich,Connecticut,NorwichConnecticut,41.5495,-72.0882
Glendale,California,GlendaleCalifornia,34.1818,-118.2468
Yonkers,New York,YonkersNew York,40.9466,-73.8674
Huntington Beach,California,Huntington BeachCalifornia,33.696,-118.0025
Aurora,Illinois,AuroraIllinois,41.7637,-88.2901
Gainesville,Florida,GainesvilleFlorida,29.6804,-82.3458
Olympia,Washington,OlympiaWashington,47.0417,-122.8959
North Port,Florida,North PortFlorida,27.0577,-82.1975
Spring Valley,Nevada,Spring ValleyNevada,36.0987,-115.2619
Huntington,West Virginia,HuntingtonWest Virginia,38.4109,-82.4344
Deltona,Florida,DeltonaFlorida,28.905,-81.2136
Sunrise Manor,Nevada,Sunrise ManorNevada,36.1785,-115.049
Grand Prairie,Texas,Grand PrairieTexas,32.687,-97.0209
Salinas,California,SalinasCalifornia,36.6884,-121.6317
Waterbury,Connecticut,WaterburyConnecticut,41.5583,-73.0361
Overland Park,Kansas,Overland ParkKansas,38.887,-94.687
Waco,Texas,WacoTexas,31.5597,-97.1882
Erie,Pennsylvania,EriePennsylvania,42.1168,-80.0733
Cedar Rapids,Iowa,Cedar RapidsIowa,41.9667,-91.6781
Hagerstown,Maryland,HagerstownMaryland,39.6402,-77.7217
Tempe,Arizona,TempeArizona,33.3881,-111.9318
Spartanburg,South Carolina,SpartanburgSouth Carolina,34.9437,-81.9256
Clarksville,Tennessee,ClarksvilleTennessee,36.5696,-87.3428
Gastonia,North Carolina,GastoniaNorth Carolina,35.2494,-81.1853
Lorain,Ohio,LorainOhio,41.4409,-82.184
Sioux Falls,South Dakota,Sioux FallsSouth Dakota,43.5397,-96.7321
Fort Lauderdale,Florida,Fort LauderdaleFlorida,26.1412,-80.1464
Newport News,Virginia,Newport NewsVirginia,37.1051,-76.5185
High Point,North Carolina,High PointNorth Carolina,35.9905,-79.9937
Santa Cruz,California,Santa CruzCalifornia,36.9789,-122.0346
Rancho Cucamonga,California,Rancho CucamongaCalifornia,34.1248,-117.5666
Frisco,Texas,FriscoTexas,33.1554,-96.8217
Danbury,Connecticut,DanburyConnecticut,41.4016,-73.471
Hemet,California,HemetCalifornia,33.7341,-116.9969
Oceanside,California,OceansideCalifornia,33.2247,-117.3083
Ontario,California,OntarioCalifornia,34.0393,-117.6064
Vancouver,Washington,VancouverWashington,45.6367,-122.597
Garden Grove,California,Garden GroveCalifornia,33.7787,-117.9601
Nampa,Idaho,NampaIdaho,43.5843,-116.5628
Vallejo,California,VallejoCalifornia,38.1133,-122.2359
Elk Grove,California,Elk GroveCalifornia,38.416,-121.384
Pembroke Pines,Florida,Pembroke PinesFlorida,26.0128,-80.3382
Medford,Oregon,MedfordOregon,42.3372,-122.8537
Peoria,Arizona,PeoriaArizona,33.7844,-112.299
Corona,California,CoronaCalifornia,33.862,-117.5641
Murfreesboro,Tennessee,MurfreesboroTennessee,35.8493,-86.4117
Marysville,Washington,MarysvilleWashington,48.081,-122.1558
Cary,North Carolina,CaryNorth Carolina,35.7817,-78.8175
Fredericksburg,Virginia,FredericksburgVirginia,38.2992,-77.4872
Ocala,Florida,OcalaFlorida,29.178,-82.1511
Manchester,New Hampshire,ManchesterNew Hampshire,42.9848,-71.4447
Hayward,California,HaywardCalifornia,37.6328,-122.0772
Muskegon,Michigan,MuskegonMichigan,43.2281,-86.2562
Alexandria,Virginia,AlexandriaVirginia,38.8185,-77.0861
Springfield,Illinois,SpringfieldIllinois,39.771,-89.6537
Lafayette,Indiana,LafayetteIndiana,40.399,-86.8593
Port Arthur,Texas,Port ArthurTexas,29.8554,-93.9264
Palmdale,California,PalmdaleCalifornia,34.5944,-118.1057
Champaign,Illinois,ChampaignIllinois,40.1144,-88.2735
Gainesville,Georgia,GainesvilleGeorgia,34.2902,-83.8303
Enterprise,Nevada,EnterpriseNevada,36.0163,-115.2207
Frederick,Maryland,FrederickMaryland,39.4336,-77.4157
Lakewood,Colorado,LakewoodColorado,39.6977,-105.1168
Tuscaloosa,Alabama,TuscaloosaAlabama,33.2348,-87.5266
Sunnyvale,California,SunnyvaleCalifornia,37.3836,-122.0257
Lake Charles,Louisiana,Lake CharlesLouisiana,30.2022,-93.2141
Hollywood,Florida,HollywoodFlorida,26.0294,-80.1679
Pasadena,Texas,PasadenaTexas,29.6584,-95.1499
Pomona,California,PomonaCalifornia,34.0585,-117.7626
Kansas City,Kansas,Kansas CityKansas,39.1234,-94.7443
Macon,Georgia,MaconGeorgia,32.8065,-83.6974
Escondido,California,EscondidoCalifornia,33.1347,-117.0723
Binghamton,New York,BinghamtonNew York,42.1014,-75.9093
Warner Robins,Georgia,Warner RobinsGeorgia,32.5975,-83.6526
New Bedford,Massachusetts,New BedfordMassachusetts,41.6697,-70.9428
Topeka,Kansas,TopekaKansas,39.0346,-95.6955
Beaumont,Texas,BeaumontTexas,30.085,-94.1451
Paterson,New Jersey,PatersonNew Jersey,40.9147,-74.1624
Joliet,Illinois,JolietIllinois,41.5189,-88.1499
Leesburg,Florida,LeesburgFlorida,28.7658,-81.8995
Elkhart,Indiana,ElkhartIndiana,41.6912,-85.962
Odessa,Texas,OdessaTexas,31.8831,-102.3406
Naperville,Illinois,NapervilleIllinois,41.7483,-88.1657
Fairfield,California,FairfieldCalifornia,38.2594,-122.0319
Torrance,California,TorranceCalifornia,33.8346,-118.3417
Panama City,Florida,Panama CityFlorida,30.1995,-85.6003
Metairie,Louisiana,MetairieLouisiana,29.9976,-90.1781
Bellevue,Washington,BellevueWashington,47.5953,-122.155
Midland,Texas,MidlandTexas,32.0249,-102.1137
Merced,California,MercedCalifornia,37.3057,-120.4779
Mesquite,Texas,MesquiteTexas,32.7623,-96.5889
Houma,Louisiana,HoumaLouisiana,29.5799,-90.7058
Charleston,West Virginia,CharlestonWest Virginia,38.3484,-81.6323
Pasadena,California,PasadenaCalifornia,34.1597,-118.139
Pueblo,Colorado,PuebloColorado,38.2713,-104.6105
Tyler,Texas,TylerTexas,32.3184,-95.3065
Orange,California,OrangeCalifornia,33.8038,-117.8218
Fullerton,California,FullertonCalifornia,33.8841,-117.9279
Miramar,Florida,MiramarFlorida,25.9773,-80.3351
Santa Maria,California,Santa MariaCalifornia,34.9333,-120.4432
Athens,Georgia,AthensGeorgia,33.9508,-83.3689
Columbia,Missouri,ColumbiaMissouri,38.9477,-92.3255
Yuma,Arizona,YumaArizona,32.5991,-114.5488
Olathe,Kansas,OlatheKansas,38.8832,-94.8198
Thornton,Colorado,ThorntonColorado,39.9205,-104.9443
Harlingen,Texas,HarlingenTexas,26.1916,-97.6976
Grand Junction,Colorado,Grand JunctionColorado,39.0877,-108.5673
West Valley City,Utah,West Valley CityUtah,40.6889,-112.0115
Carrollton,Texas,CarrolltonTexas,32.989,-96.8999
Roseville,California,RosevilleCalifornia,38.7691,-121.3178
Warren,Michigan,WarrenMichigan,42.4934,-83.027
Bloomington,Illinois,BloomingtonIllinois,40.4757,-88.9703
Hampton,Virginia,HamptonVirginia,37.0551,-76.3629
Ramapo,New York,RamapoNew York,41.1404,-74.1072
Surprise,Arizona,SurpriseArizona,33.68,-112.4524
Las Cruces,New Mexico,Las CrucesNew Mexico,32.3265,-106.7893
Greeley,Colorado,GreeleyColorado,40.4151,-104.7705
